  44   6 3.99+00 7.54-06 1.09-05 1.80-05 2.47-05 3.17-05 4.03-05 4.59-05 5.06-05
  45   6 1.25+05 3.64-02 5.00-02 7.47-02 9.26-02 1.06-01 1.21-01 1.37-01 1.60-01
  51   6 9.06+04 4.23-04 7.92-04 1.97-03 4.04-03 8.00-03 1.77-02 2.90-02 4.38-02
   7   2 5.44+07 2.04+01 3.09+01 5.35+01 7.80+01 1.10+02 1.65+02 2.15+02 2.71+02
  18   7 6.64+05 1.13+00 1.75+00 3.01+00 4.36+00 6.12+00 9.05+00 1.17+01 1.46+01
  19   7 2.06+07 6.69+01 1.03+02 1.75+02 2.51+02 3.48+02 5.11+02 6.55+02 8.13+02
  20   7 2.81+06 6.36+00 9.79+00 1.67+01 2.41+01 3.37+01 4.96+01 6.38+01 7.94+01
  21   7 4.43+05 5.89-01 9.11-01 1.57+00 2.28+00 3.21+00 4.78+00 6.18+00 7.74+00
  22   7 4.77+06 8.21+00 1.27+01 2.20+01 3.21+01 4.53+01 6.76+01 8.78+01 1.10+02
  24   7 6.77+04 4.73-02 7.41-02 1.32-01 1.98-01 2.87-01 4.43-01 5.85-01 7.46-01
  25   7 7.13+05 6.54-01 1.03+00 1.84+00 2.77+00 4.02+00 6.22+00 8.25+00 1.05+01
  26   7 2.77+05 1.98-01 3.08-01 5.45-01 8.10-01 1.17+00 1.78+00 2.34+00 2.98+00
  30   7 1.01+05 3.15+00 4.43+00 6.71+00 8.44+00 9.85+00 1.11+01 1.16+01 1.19+01
  31   7 7.60+04 5.91-02 8.20-02 1.21-01 1.49-01 1.69-01 1.89-01 2.05-01 2.28-01
  32   7 5.95+02 3.62-01 5.11-01 7.85-01 9.99-01 1.18+00 1.35+00 1.43+00 1.48+00
  33   7 1.92+03 4.16-02 5.92-02 9.23-02 1.20-01 1.45-01 1.71-01 1.85-01 1.94-01
  34   7 3.63+04 5.94-01 8.47-01 1.33+00 1.73+00 2.10+00 2.50+00 2.73+00 2.89+00
  44   7 2.99+03 1.35-03 1.98-03 3.33-03 4.68-03 6.25-03 8.57-03 1.04-02 1.23-02
  45   7 8.47+04 1.16-02 1.72-02 2.98-02 4.38-02 6.24-02 9.55-02 1.28-01 1.65-01
  46   7 3.84+04 2.19-02 3.22-02 5.43-02 7.67-02 1.03-01 1.42-01 1.74-01 2.07-01
   8   2 1.03+07 3.66+00 5.56+00 9.63+00 1.41+01 1.99+01 2.98+01 3.89+01 4.92+01
